name,hard_hitter,sr,rbw
MM Lanning,1.380952380952381,166.66666666666669,0.41379310344827586
Shafali Verma,0.7142857142857143,121.42857142857142,0.5833333333333334
TM McGrath,1.36,180.0,0.6285714285714286
M Kapp,0.6666666666666666,133.33333333333331,0.8
DB Sharma,0.2,60.0,0.42105263157894735
JI Rodrigues,0.7272727272727273,154.54545454545453,1.0
A Capsey,1.6,210.0,0.7142857142857143
JL Jonassen,1.5,210.0,0.8571428571428571
AJ Healy,1.1764705882352942,141.1764705882353,0.3333333333333333
S Sehrawat,0.0,16.666666666666664,0.16666666666666666
KP Navgire,0.0,100.0,1.0
DP Vaidya,0.38095238095238093,109.52380952380953,0.7894736842105263
Simran Shaikh,1.0,150.0,0.6666666666666666
