name,hard_hitter,sr,rbw
S Meghana,0.0,0.0,0.0
L Wolvaardt,0.0,50.0,0.5
H Deol,1.1428571428571428,142.85714285714286,0.4
A Gardner,0.0,0.0,0.0
D Hemalatha,0.8,100.0,0.25
G Wareham,0.32,88.0,0.6086956521739131
S Verma,0.0,20.0,0.2
KJ Garth,0.32432432432432434,86.48648648648648,0.5882352941176471
TP Kanwar,0.21052631578947367,68.42105263157895,0.5
S Rana,0.0,66.66666666666666,0.6666666666666666
M Joshi,2.0,250.0,1.0
MM Lanning,0.8,140.0,0.75
Shafali Verma,2.5,271.42857142857144,0.46153846153846156
