name,hard_hitter,sr,rbw
S Mandhana,0.0,66.66666666666666,0.6666666666666666
SFM Devine,1.0833333333333333,150.0,0.5555555555555556
EA Perry,0.7692307692307693,133.33333333333331,0.6875
KS Ahuja,0.0,80.0,0.8
HC Knight,0.0,100.0,1.0
DP Vaidya,0.6451612903225806,116.12903225806453,0.6153846153846154
SR Patil,1.2,150.0,0.42857142857142855
EA Burns,0.8888888888888888,133.33333333333331,0.5714285714285714
RM Ghosh,0.0,100.0,1.0
Komal Zanzad,0.0,71.42857142857143,0.7142857142857143
Renuka Singh,0.0,37.5,0.375
SS Pawar,0.0,0.0,0.0
AJ Healy,1.6595744680851063,204.25531914893617,0.6428571428571429
