name,hard_hitter,sr,rbw
AJ Healy,0.6470588235294118,105.88235294117648,0.4827586206896552
S Sehrawat,1.3333333333333333,158.33333333333331,0.375
M Kapp,0.7096774193548387,109.6774193548387,0.46153846153846156
JL Jonassen,0.0,0.0,0.0
Simran Shaikh,0.17391304347826086,47.82608695652174,0.3181818181818182
A Capsey,0.7096774193548387,109.6774193548387,0.46153846153846156
TM McGrath,1.375,181.25,0.6363636363636364
KP Navgire,0.0,66.66666666666666,0.6666666666666666
DB Sharma,0.0,37.5,0.375
S Ecclestone,0.0,0.0,0.0
K Anjali Sarvani,0.0,50.0,0.5
MM Lanning,1.2173913043478262,169.56521739130434,0.6470588235294118
Shafali Verma,1.0,131.25,0.4166666666666667
JI Rodrigues,0.0,100.0,1.0
