name,hard_hitter,sr,rbw
HK Matthews,0.7333333333333333,116.66666666666667,0.5
GM Harris,1.0,139.28571428571428,0.5238095238095238
NR Sciver-Brunt,0.5,62.5,0.14285714285714285
S Ecclestone,0.5882352941176471,94.11764705882352,0.4
H Kaur,0.5454545454545454,113.63636363636364,0.6842105263157895
DB Sharma,0.2857142857142857,92.85714285714286,0.6923076923076923
IECM Wong,1.1578947368421053,168.42105263157893,0.7142857142857143
AJ Healy,0.4,80.0,0.4444444444444444
KP Navgire,0.625,75.0,0.14285714285714285
TM McGrath,1.2,152.0,0.4444444444444444
