name,team,price,balls_faced,weighted_avg_sr,weighted_avg_rbw,runs,30s,50s,ducks,6s,4s,3s,2s,1s
MM Lanning,DelhiCapitals,110,269,68.71040724,0.254285714,331,1,4,0,4,47,0,13,93
Shafali Verma,DelhiCapitals,200,197,96.50793651,0.330952381,309,1,3,0,20,27,0,9,63
TP Kanwar,GujaratGiants,50,44,80.35087719,0.452941176,46,0,0,1,0,5,1,2,19
KE Bryce,GujaratGiants,10,85,83.63636364,0.4,83,0,0,0,1,8,0,4,37
A Capsey,DelhiCapitals,75,183,107.2905526,0.425,230,2,1,2,6,29,0,3,66
A Gardner,GujaratGiants,320,108,75.33333333,0.369230769,120,2,0,1,3,14,0,1,44
JI Rodrigues,DelhiCapitals,220,153,103.2222222,0.527513228,235,2,2,2,8,26,0,8,67
A Sutherland,DelhiCapitals,200,23,66.66666667,0.258333333,27,0,0,0,1,3,0,1,7
JL Jonassen,DelhiCapitals,50,46,138.6666667,0.521428571,66,1,0,0,4,5,0,2,18
A Reddy,DelhiCapitals,30,27,154.4117647,0.638461538,25,0,0,1,0,2,0,1,15
RP Yadav,DelhiCapitals,40,21,134.7222222,0.6,27,0,0,0,1,2,0,1,11
BL Mooney,GujaratGiants,200,202,127.6190476,0.496491228,285,0,3,1,5,38,1,10,80
L Wolvaardt,GujaratGiants,30,129,67.96703297,0.154545455,167,1,1,1,1,29,0,6,33
P Litchfield,GujaratGiants,100,107,92.5,0.157142857,108,1,0,0,3,11,0,5,36
V Krishnamurthy,GujaratGiants,30,32,58.15384615,0.224675325,22,0,0,1,1,2,0,0,8
NR Sciver-Brunt,MumbaiIndians,320,144,62.3655914,0.327329193,172,1,0,0,1,26,1,4,51
AC Kerr,MumbaiIndians,100,166,118.115942,0.582352941,215,3,0,0,3,23,1,9,84
HK Matthews,MumbaiIndians,40,159,74.63203463,0.295294118,180,0,1,1,4,29,0,5,30
P Vastrakar,MumbaiIndians,190,59,56.66666667,0.271111111,55,0,0,0,1,2,0,4,28
M Kapp,DelhiCapitals,150,59,134.7712418,0.496969697,79,1,0,1,4,6,0,3,24
YH Bhatia,MumbaiIndians,150,168,74.21052632,0.343333333,204,2,1,0,6,30,1,3,39
H Kaur,MumbaiIndians,180,190,89,0.393223443,268,3,2,1,8,30,0,7,85
H Kaur,MumbaiIndians,50,44,73.78986867,0.38136646,57,1,0,2,0,8,1,4,14
S Sajana,MumbaiIndians,15,55,112.8571429,0.42,87,1,0,0,3,13,0,1,15
SFM Devine,RoyalChallengersBangalore,50,108,111.25,0.495726496,136,1,0,0,7,13,0,0,42
S Molineux,RoyalChallengersBangalore,30,84,75,0.385,78,1,0,0,0,10,0,2,34
G Wareham,RoyalChallengersBangalore,40,68,136.0909091,0.709803922,111,1,0,1,3,11,0,6,33
SR Patil,RoyalChallengersBangalore,10,14,100,0.460714286,19,0,0,1,1,1,0,1,7
S Mandhana,RoyalChallengersBangalore,340,224,64.78005865,0.365384615,300,2,2,0,10,40,0,7,66
S Meghana,GujaratGiants,30,149,83.66071429,0.334415584,168,2,1,0,3,20,0,5,60
RM Ghosh,RoyalChallengersBangalore,190,181,79.61538462,0.291666667,257,2,2,0,10,31,0,6,61
EA Perry,RoyalChallengersBangalore,170,276,105.8333333,0.526388889,347,4,2,0,7,41,1,12,114
D Hemalatha,GujaratGiants,30,89,112.5,0.498275862,115,1,1,1,3,11,1,3,39
BS Fulmali,GujaratGiants,30,53,90.64102564,0.44137931,64,1,0,0,1,8,0,3,20
H Deol,GujaratGiants,40,64,139.1304348,0.433333333,48,0,0,0,1,4,1,2,19
S Rana,GujaratGiants,75,14,85.71428571,0.416666667,13,0,0,1,0,2,0,0,5
GM Harris,UPWarriorz,75,138,52.60869565,0.121428571,188,2,1,0,7,23,0,3,47
S Ecclestone,UPWarriorz,180,20,83.7254902,0.44,19,0,0,1,1,1,0,2,5
DB Sharma,UPWarriorz,260,216,72.71428571,0.311483254,295,1,3,0,8,34,0,6,97
AJ Healy,UPWarriorz,70,149,103.3510638,0.295238095,175,2,1,0,3,28,0,3,38
KP Navgire,UPWarriorz,30,75,110.3896104,0.383333333,110,0,1,1,7,11,1,1,19
S Sehrawat,UPWarriorz,40,106,88.33333333,0.2,108,2,0,0,3,11,2,6,24
PN Khemnar,RoyalChallengersBangalore,10,90,104.5833333,0.336842105,99,2,0,0,2,13,0,2,31
IECM Wong,MumbaiIndians,30,6,158.6842105,0.767857143,15,0,0,0,1,1,0,1,3
TM McGrath,UPWarriorz,140,34,126.625,0.443896104,27,0,0,0,1,2,1,1,8
