name,price,team,balls_faced,runs,30s,50s,ducks,6s,4s,3s,2s,1s,dot,balls_delivered,overs_delivered,wides,noballs,runs_given,wickets,5wh,4wh,outs,economy_rate,bowling_innings,batting_innings,not_outs,tournament_sr_fastscorer,tournament_avg_consistent,batting_index_espn,bat_pi_1,hard_hitter,rbw,finisher,bat_pi_5,bat_pi_7,bat_pi_8,bat_form
M Lanning,110,Delhi Capitals,248,345,4,2,0,6,49,0,11,87,0,0,0,0,0,0,0,0,0,7,0,0,9,2,139.1129032,49.28571429,137.125576,68.56278802,0.935483871,0.585492228,0.222222222,188.3986175,6856.278802,107.3262177,44.43221982
S Verma,200,Gujarat Giants,136,252,1,2,1,13,32,0,5,36,0,0,0,0,0,0,0,0,0,8,0,0,9,1,185.2941176,31.5,116.7352941,58.36764706,1.514705882,0.505494505,0.111111111,216.7941176,5836.764706,118.9799721,43.78731176
N Sciver-Brunt,320,Mumbai Indians,237,332,2,3,1,6,47,0,11,86,90,192,32,5,1,228,10,0,0,5,7.125,10,10,5,140.0843882,66.4,186.0320675,93.01603376,0.945147679,0.586956522,0.5,206.4843882,9301.603376,116.234305,52.14722262
A Capsey,75,Delhi Capitals,102,159,3,0,1,10,17,0,2,27,53,129,21.3,3,0,151,6,0,0,6,7.089201878,8,7,1,155.8823529,26.5,82.61764706,41.30882353,1.254901961,0.413333333,0.142857143,182.3823529,4130.882353,100.0942622,36.59073529
I Wong,30,Mumbai Indians,46,61,1,0,2,3,4,0,2,23,107,195,32.3,6,1,210,15,0,1,4,6.501547988,10,5,1,132.6086957,15.25,40.44565217,20.22282609,0.739130435,0.692307692,0.2,147.8586957,2022.282609,77.22296339,27.73046304
P Vastrakar,190,Mumbai Indians,49,71,0,0,0,2,9,0,2,19,14,24,4,1,0,23,2,0,0,3,5.75,3,4,1,144.8979592,23.66666667,68.58503401,34.29251701,0.979591837,0.605263158,0.25,168.5646259,3429.251701,92.1151312,32.99272517
M Kapp,150,Delhi Capitals,146,177,4,0,0,6,18,0,4,61,121,216,36,5,0,206,9,1,0,4,5.722222222,9,7,3,121.2328767,44.25,107.2910959,53.64554795,0.739726027,0.56557377,0.428571429,165.4828767,5364.554795,94.2309624,38.96171438
J Rodrigues,220,Delhi Capitals,98,126,2,0,0,0,15,1,6,51,0,0,0,0,0,0,0,0,0,5,0,0,7,2,128.5714286,25.2,64.8,32.4,0.612244898,0.795180723,0.285714286,153.7714286,3240,85.54772945,31.95072571
A Kerr,100,Mumbai Indians,112,149,2,0,0,1,20,0,7,49,96,196,32.4,0,0,211,15,0,0,4,6.512345679,10,7,3,133.0357143,37.25,99.11160714,49.55580357,0.767857143,0.692307692,0.428571429,170.2857143,4955.580357,96.77379083,37.76054286
H Matthews,40,Mumbai Indians,215,271,3,1,1,10,33,0,6,65,98,204,34,5,0,202,16,0,0,9,5.941176471,10,10,1,126.0465116,30.11111111,75.90801034,37.95400517,0.893023256,0.459302326,0.1,156.1576227,3795.400517,88.1210815,34.44997881
