name,price,team,balls_faced,runs,30s,50s,ducks,6s,4s,3s,2s,1s,dot,balls_delivered,overs_delivered,wides,noballs,runs_given,wickets,5wh,4wh,outs,economy_rate,bowling_innings,batting_innings,not_outs,tournament_sr,tournament_avg,batting_index_espn,bat_pi_1,hard_hitter,rbw,finisher,bat_pi_5,bat_pi_7,bat_pi_8,bat_form,bowling_strike_rate,bowling_avg,bowl_pi_1,big_wicket_taker,short_performance,bowl_pi_6,bowl_pi_7,bowl_pi_8,bowler_form
M Lanning,110,Delhi Capitals,269,331,1,4,0,4,47,0,13,93,0,0,0,0,0,0,0,0,0,9,0,0,9,1,123.0483271,36.77777778,90.50888063,45.2544403,0.788104089,0.54587156,0.111111111,159.8261049,4525.444031,90.98151335,36.78678628,0,0,0,0,0,0,0,0,0
S Verma,200,Delhi Capitals,197,309,1,3,0,20,27,0,9,63,0,0,0,0,0,0,0,0,0,8,0,0,9,1,156.8527919,38.625,121.1687817,60.58439087,1.157360406,0.54,0.111111111,195.4777919,6058.439086,110.4933938,42.62294658,0,0,0,0,0,0,0,0,0
T Kanwer,50,Gujarat Giants,44,46,0,0,1,0,5,1,2,19,73,174,29,2,0,207,10,0,0,4,7.137931034,8,6,2,104.5454545,11.5,24.04545455,12.02272727,0.454545455,0.666666667,0.333333333,116.0454545,1202.272727,60.20787877,22.18926363,17.4,20.7,3.6018,0,1.25,360.18,19.82052123,0.170566908,17.52758
K Bryce,10,Gujarat Giants,85,83,0,0,0,1,8,0,4,37,51,126,21,2,0,182,4,0,0,4,8.666666667,8,8,5,97.64705882,20.75,40.52352941,20.26176471,0.447058824,0.592105263,0.625,118.3970588,2026.176471,66.29776688,25.64115588,31.5,45.5,14.3325,0,0.5,1433.25,41.50363986,0.094824592,20.55975
M Singh,30,Gujarat Giants,12,14,0,0,1,0,1,0,2,6,47,144,24,7,1,242,5,0,1,1,10.08333333,8,2,2,116.6666667,14,32.66666667,16.33333334,0.333333333,0.909090909,1,130.6666667,1633.333333,68.66605565,24.05866667,28.8,48.4,13.9392,0.125,0.142857143,1393.92,42.5091228,0.103735033,21.46436
A Capsey,75,Delhi Capitals,183,230,2,1,2,6,29,0,3,66,21,48,8,2,0,49,4,0,0,8,6.125,5,8,0,125.6830601,28.75,72.26775956,36.13387978,0.852459016,0.503401361,0,154.4330601,3613.387978,86.91946049,33.26379208,12,12.25,1.47,0,0.8,147,12.18701591,0.245,7.77285
A Gardner,320,Gujarat Giants,108,120,2,0,1,3,14,0,1,44,68,161,26.5,2,0,208,7,0,0,8,7.849056604,8,8,0,111.1111111,15,33.33333333,16.66666667,0.685185185,0.505494505,0,126.1111111,1666.666667,67.35051682,25.18557778,23,29.71428571,6.834285714,0,0.875,683.4285714,27.87121684,0.129527763,18.85217857
J Rodrigues,220,Delhi Capitals,153,235,2,2,2,8,26,0,8,67,0,0,0,0,0,0,0,0,0,6,0,0,9,3,153.5947712,39.16666667,120.3159041,60.15795206,0.993464052,0.697478992,0.333333333,192.7614379,6015.795207,109.1469179,42.23024379,0,0,0,0,0,0,0,0,0
A Sutherland,200,Delhi Capitals,23,27,0,0,0,1,3,0,1,7,33,78,13,1,0,102,1,0,0,2,7.846153846,4,3,1,117.3913043,13.5,31.69565217,15.84782608,0.782608696,0.473684211,0.333333333,130.8913043,1584.782609,68.36131185,24.24958695,78,102,79.56,0,0.25,7956,95.38361533,0.038393977,32.3707
J Jonassen,50,Delhi Capitals,46,66,1,0,0,4,5,0,2,18,61,150,25,10,0,181,11,0,0,4,7.24,7,6,3,143.4782609,16.5,47.34782609,23.67391305,0.956521739,0.594594595,0.5,159.9782609,2367.391304,83.55271449,30.2371174,13.63636364,16.45454545,2.243801653,0,1.571428571,224.3801653,15.69961711,0.21683729,14.71524545
A Reddy,30,Delhi Capitals,27,25,0,0,1,0,2,0,1,15,66,177,29.3,11,2,225,8,0,0,3,7.679180887,9,4,1,92.59259259,8.333333333,15.43209877,7.716049382,0.296296296,0.68,0.25,100.9259259,771.6049383,50.71505162,18.52154815,22.125,28.125,6.22265625,0,0.888888889,622.265625,26.48745416,0.134584806,19.6955575
R Yadav,40,Delhi Capitals,21,27,0,0,0,1,2,0,1,11,59,150,25,1,1,187,10,0,1,3,7.48,9,4,2,128.5714286,9,23.14285714,11.57142857,0.666666667,0.722222222,0.5,137.5714286,1157.142857,66.13311502,24.27648572,15,18.7,2.805,0.111111111,0.75,280.5,17.69717802,0.197535211,15.8919
S Pandey,60,Delhi Capitals,15,23,0,0,0,0,3,0,1,9,90,204,34,5,4,244,9,0,0,1,7.176470588,9,3,2,153.3333333,23,70.53333333,35.26666666,0.8,0.916666667,0.666666667,176.3333333,3526.666667,95.42438985,33.72573333,22.66666667,27.11111111,6.145185185,0,1,614.5185185,25.92432171,0.131331858,21.21097778
B Mooney,200,Gujarat Giants,202,285,0,3,1,5,38,1,10,80,0,0,0,0,0,0,0,0,0,6,0,0,8,2,141.0891089,47.5,134.0346535,67.01732673,0.900990099,0.647798742,0.25,188.5891089,6701.732673,107.4715519,43.73055544,0,0,0,0,0,0,0,0,0
L Wolvaardt,30,Gujarat Giants,129,167,1,1,1,1,29,0,6,33,0,0,0,0,0,0,0,0,0,6,0,0,6,1,129.4573643,27.83333333,72.06459948,36.03229973,0.945736434,0.454545455,0.166666667,157.2906977,3603.229974,88.15285368,32.96782867,0,0,0,0,0,0,0,0,0
P Litchfield,100,Gujarat Giants,107,108,1,0,0,3,11,0,5,36,0,0,0,0,0,0,0,0,0,8,0,0,8,2,100.9345794,13.5,27.25233645,13.62616822,0.579439252,0.494623656,0.25,114.4345794,1362.616822,61.03984547,23.04762149,0,0,0,0,0,0,0,0,0
V Krishnamurthy,30,Gujarat Giants,32,22,0,0,1,1,2,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,4,1,68.75,5.5,7.5625,3.78125,0.4375,0.275862069,0.25,74.25,378.125,36.56328429,13.71375,0,0,0,0,0,0,0,0,0
N Sciver-Brunt,320,Mumbai Indians,144,172,1,0,0,1,26,1,4,51,75,162,27,13,0,215,10,0,0,9,7.962962963,9,9,2,119.4444444,19.11111111,45.65432099,22.82716048,0.763888889,0.52991453,0.222222222,138.5555556,2282.716049,75.54329966,28.49066666,16.2,21.5,3.483,0,1.111111111,348.3,20.03122912,0.183238636,17.02994
A Kerr,100,Mumbai Indians,166,215,3,0,0,3,23,1,9,84,51,144,24,2,0,218,7,0,1,6,9.083333333,9,9,4,129.5180723,35.83333333,92.82128514,46.41064257,0.662650602,0.75,0.444444444,165.3514056,4641.064257,93.93330029,37.13879558,20.57142857,31.14285714,6.406530612,0.111111111,0.375,640.6530612,28.07598186,0.144832168,18.11634286
H Matthews,40,Mumbai Indians,159,180,0,1,1,4,29,0,5,30,66,168,28,4,0,211,7,0,0,9,7.535714286,9,9,0,113.2075472,20,45.28301887,22.64150944,0.880503145,0.317460317,0,133.2075472,2264.150943,73.39458759,27.94533963,24,30.14285714,7.234285714,0,0.777777778,723.4285714,28.47351753,0.124141989,19.86668571
P Vastrakar,190,Mumbai Indians,59,55,0,0,0,1,2,0,4,28,60,147,24.3,1,2,179,5,0,0,6,7.366255144,9,7,1,93.22033898,9.166666667,17.09039548,8.54519774,0.237288136,0.732142857,0.142857143,102.3870056,854.519774,52.20184685,19.77930452,29.4,35.8,10.5252,0,0.555555556,1052.52,34.07996206,0.10147584,20.35525
M Kapp,150,Delhi Capitals,59,79,1,0,1,4,6,0,3,24,85,168,28,3,0,176,11,0,0,4,6.285714286,7,5,1,133.8983051,19.75,52.88983051,26.44491526,0.813559322,0.632653061,0.2,153.6483051,2644.491525,82.97993394,29.88109407,15.27272727,16,2.443636364,0,1.571428571,244.3636364,15.81499781,0.193619362,15.94809091
Y Bhatia,150,Mumbai Indians,168,204,2,1,0,6,30,1,3,39,0,0,0,0,0,0,0,0,0,8,0,0,8,0,121.4285714,25.5,61.92857143,30.96428571,0.928571429,0.363636364,0,146.9285714,3096.428571,82.20073662,31.31221428,0,0,0,0,0,0,0,0,0
H Kaur,180,Mumbai Indians,190,268,3,2,1,8,30,0,7,85,0,0,0,0,0,0,0,0,0,5,0,0,7,2,141.0526316,53.6,151.2084211,75.60421054,0.884210526,0.657894737,0.285714286,194.6526316,7560.421053,110.745756,46.01266737,0,0,0,0,0,0,0,0,0
A Kaur,50,Mumbai Indians,44,57,1,0,2,0,8,1,4,14,6,12,2,0,0,15,0,0,0,3,7.5,2,7,4,129.5454545,19,49.22727273,24.61363636,0.727272727,0.694444444,0.571428571,148.5454545,2461.363636,80.1687357,29.37936363,0,0,0,0,0,0,0,22.5,1.223
S Sajana,15,Mumbai Indians,55,87,1,0,0,3,13,0,1,15,3,12,2,0,0,23,2,0,0,3,11.5,2,6,3,158.1818182,29,91.74545455,45.87272728,1.272727273,0.435897436,0.5,187.1818182,4587.272727,103.5063328,37.78485455,6,11.5,0.69,0,1,69,9.773749251,0.485915493,3.7407
H Kazi,10,Mumbai Indians,15,10,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,66.66666667,5,6.666666667,3.333333334,0,0.666666667,0,71.66666667,333.3333333,34.88783798,12.71086667,0,0,0,0,0,0,0,0,0
S Devine,50,Royal Challengers Bangalore,108,136,1,0,0,7,13,0,0,42,67,132,22,9,0,174,6,0,0,9,7.909090909,9,10,1,125.9259259,15.11111111,38.05761317,19.02880658,0.87037037,0.477272727,0.1,141.037037,1902.880658,74.11574261,28.02117037,22,29,6.38,0,0.666666667,638,27.06475927,0.135373444,17.3916
S Molineux,30,Royal Challengers Bangalore,84,78,1,0,0,0,10,0,2,34,92,228,38,4,0,278,12,0,0,6,7.315789474,10,7,2,92.85714286,13,24.14285714,12.07142857,0.476190476,0.513513514,0.285714286,105.8571429,1207.142857,56.79986788,21.35822857,19,23.16666667,4.401666667,0,1.2,440.1666667,22.04631776,0.156414104,21.63766667
G Wareham,40,Royal Challengers Bangalore,68,111,1,0,1,3,11,0,6,33,56,169,28.1,6,0,232,7,0,0,5,8.256227758,10,6,2,163.2352941,22.2,72.47647059,36.23823529,0.911764706,0.907407407,0.333333333,185.4352941,3623.823529,99.12855903,35.61176941,24.14285714,33.14285714,8.001632653,0,0.7,800.1632653,30.61890285,0.123486517,20.57379
S Patil,10,Royal Challengers Bangalore,14,19,0,0,1,1,1,0,1,7,50,129,21.3,2,0,157,13,0,2,0,7.370892019,8,4,4,135.7142857,0,0,0,0.714285714,0.75,1,135.7142857,0,0,21.48125714,9.923076923,12.07692308,1.198402367,0.25,0.833333333,119.8402367,11.49817236,0.295812821,12.72323923
